x, y, yaw, km, kf, sf
3.98831,1.97927,1.04437,0.306226,0.142982,4.78353
5.00979,2.0195,1.05459,0.204656,0.286457,5.66063
6.01244,2.02453,1.05726,0.143969,0.345226,6.61377
7.00028,2.01248,1.05243,0.104983,0.365198,7.57814
1.99294,-1.98042,-1.06208,-0.798054,0.823788,3.20942
3.02366,-2.08045,-1.00977,-0.480464,0.153877,3.90416
4.00795,-2.03329,-1.04932,-0.304001,-0.151405,4.74943
4.9941,-1.99615,-1.04552,-0.20442,-0.287526,5.68965
5.9581,-1.93591,-1.00757,-0.144269,-0.347608,6.65166
7.0261,-2.05516,-1.07086,-0.104699,-0.365291,7.58751
0.99188,0.000384032,-1.03069,0.163654,-4.83901,1.06386
1.99269,0.0121079,-1.00082,0.077014,-2.69772,2.11588
2.98874,0.0108425,-1.01283,0.0541732,-1.84291,3.15512
3.98837,0.0215366,-1.00434,0.0411147,-1.40521,4.2005
4.98435,0.0207766,-1.00985,0.0331991,-1.13504,5.24502
5.98365,0.0312279,-1.00527,0.0281422,-0.950173,6.28579
6.97967,0.0306485,-1.00876,0.0239824,-0.820044,7.33513
3.00138,1.96263,-1.12873,0.542997,-2.96356,4.16145
3.97496,2.02939,-0.964593,0.362114,-2.23415,5.0107
5.00439,1.99035,-1.06583,0.257799,-1.73298,5.91787
5.99581,1.9692,-1.09868,0.194653,-1.38059,6.84054
6.97686,1.97148,-1.08798,0.149149,-1.16414,7.84075
1.98651,-1.99495,-0.0296173,-0.870092,2.60296,3.20198
3.04224,-1.99592,0.0753088,-0.542166,1.64018,3.86079
3.95774,-1.98415,-0.0210776,-0.351096,1.1225,4.70253
4.95768,-1.99493,-0.0300872,-0.242576,0.79054,5.59073
5.91526,-2.01268,-0.0487711,-0.176328,0.578943,6.50886
6.94545,-1.99796,-0.0232092,-0.133745,0.43641,7.43525
1.02,0,0,0,0,0.983333
1.98,0,0,0,0,2.025
3.02,0,0,0,0,2.98333
3.98,0,0,0,0,4.025
5.02,0,0,0,0,4.98333
5.98,0,0,0,0,6.025
7.02,0,0,0,0,6.98333
1.98651,1.99495,0.0296173,0.870092,-2.60296,3.20198
3.04224,1.99592,-0.0753088,0.542166,-1.64018,3.86079
3.95774,1.98415,0.0210776,0.351096,-1.1225,4.70253
4.95768,1.99493,0.0300872,0.242576,-0.79054,5.59073
5.91526,2.01268,0.0487711,0.176328,-0.578943,6.50886
6.94545,1.99796,0.0232092,0.133745,-0.43641,7.43525
3.00138,-1.96263,1.12873,-0.542997,2.96356,4.16145
3.97496,-2.02939,0.964593,-0.362114,2.23415,5.0107
5.00439,-1.99035,1.06583,-0.257799,1.73298,5.91787
5.99581,-1.9692,1.09868,-0.194653,1.38059,6.84054
6.97686,-1.97148,1.08798,-0.149149,1.16414,7.84075
0.99188,-0.000384032,1.03069,-0.163654,4.83901,1.06386
1.99269,-0.0121079,1.00082,-0.077014,2.69772,2.11588
